,Title,Location,Remax_Description,P24_Link,Bedrooms,Bathrooms,Parking Spaces,Erf Size,Agency,Price
10,5 Bedroom House,Mokolodi 1,"MOKOLODI 1 – Wonderland of nature. Rare opportunity to acquire this historical property located just a short distance from the city. Featuring a history dating back to 1895, the original farmhouse and barn structures make for a fascinating living experience.  
Step into the (renovated) historic main house, th",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/mokolodi-1/5-bedroom-house-for-sale-in-mokolodi-1-4283916,5,4,,,Remax,BWP 5 500 000
11,4 Bedroom House,Phakalane,"PHAKALANE: FEELS LIKE HOME. Located in an established neighbourhood, this family home is a gem. A 1000m2 plot with loads of shady trees framing the property, a swimming pool, a sunny lounge and dining area with a central feature fireplace. The kitchen is well-appointed and is open plan with the dining area which steps",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/phakalane/4-bedroom-house-for-sale-in-phakalane-4285910,4,2,,Price Reduced,Remax,BWP 2 500 000
12,2 Bedroom Apartment / Flat,Gaborone Central,"ITOWERS, CBD, GABORONE: Enjoy a life of luxury in this superb 2 bedroom, 2 bathroom apartment in the sought after business district. Offering the most amazing views, sunrise and sunset!! Tastefully finished with open plan design, central cooling system, balcony to enjoy the fresh air and views! Perfect for the young pr",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone-central/2-bedroom-apartment-flat-for-sale-in-gaborone-central-4297095,2,2,,New,Remax,BWP 3 200 000
13,5 Bedroom House,Block 8,"BLOCK 8, PRICE REDUCED!!  - Fit for a growing family is this very well kept property located on a spacious plot with manicured garden in a quiet area close to the Sir Seretse Khama Airport and all amenities such as shops, hospitals and schools. The house is well laid out featuring a lovely entrance leading into large l",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/block-8/5-bedroom-house-for-sale-in-block-8-4296976,5,4,,Price Reduced,Remax,BWP 4 500 000
14,3 Bedroom House,Kgale,"KGALE VIEW- TIME have done it again with SESHA MEWS, another secure lifestyle estate nestled in the foot of Kgale Hills after their flagship ""Kgale Manor"" being a success, don't miss out!!
86 plots in all, 4 optional styles, 3- and 4-bedroom houses sized from 119m2-177m2. Plot sizes range from between 393m2-748m2, priv",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/kgale/3-bedroom-house-for-sale-in-kgale-4194317,3,2,,,Remax,BWP 2 080 000
15,Vacant Land / Plot,Notwane,"NOTWANE- Close to tarred road and Police station, undeveloped 1.1 hectare corner plot. Fully fenced with existing borehole (never used), opportunity to build your dream home away from the city rush.",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/notwane/-vacant-land-plot-for-sale-in-notwane-4111728,,,,,Remax,BWP 1 300 000
16,3 Bedroom House,Block 8,"BLOCK 8 - Newly upgraded 3 bedroom, 2 bathroom home with great open plan living room featuring a lovely and spacious fitted kitchen, tiled throughout, single garage, paved with wall, electric gate and electric fence! Additionally there is a 2 bedroom staff quarters. The property is set in a good location with close pro",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/block-8/3-bedroom-house-for-sale-in-block-8-4344054,3,2,,,Remax,BWP 1 500 000
17,3 Bedroom House,Block 8,"BLOCK 8: 3 Bedroom house in a good location, has lounge, open plan with dining, a fitted kitchen, 2 bathrooms, 1 ensuite. The property is walled and gated. Please call me to book a viewing.",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/block-8/3-bedroom-house-for-sale-in-block-8-4343239,3,2,,,Remax,BWP 1 200 000
18,2 Bedroom House,Gaborone,"MOKOLODI - LESETHANENG WARD: This 2-bedroom house is immaculate and in a very good location. This property also has 1 lounge and 2-bathrooms, of which one is an ensuite in the main bedroom. The yard fenced on 2 sides and the other, 2 sides are Durawall. Plot size is 900m2. There's plenty of space for further developmen",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone/2-bedroom-house-for-sale-in-gaborone-4341384,2,1,,Price Reduced,Remax,BWP 850 000
19,Vacant Land / Plot,Gaborone Nor,GABORONE NORTH - GREAT RARE OPPORTUNITY TO OWN LAND - This is a undeveloped plot measures at 970m2. This great opportunity is in an upcoming estate. Kindly call for viewing - 71442640.,https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone-north/-vacant-land-plot-for-sale-in-gaborone-north-4338994,,,,,Remax,BWP 750 000
20,,,,,,,,,Remax,
21,3 Bedroom Townhouse,Kgale,"KGALE MANOR ESTATE - A popular and sought after gated estate features this 3 bedroom, 2 bathroom townhouse unit with its own private garden and swimming pool. The open plan living areas with fitted kitchen give the unit and airy feel leading out to a well maintained garden with covered veranda where you can enjoy the o",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/kgale/3-bedroom-townhouse-for-sale-in-kgale-4338288,3,2,,Offer Made,Remax,BWP 2 250 000
22,2 Bedroom House,Maun Central,"Mapororo, Maun: An immaculate home set on 1 600m2 with so much to offer and room for expansion! The property is situated behind Boseja and surrounded by only 4 other residents. Enjoy the peace and quiet it has to offer yet just a short drive from all amenities.
The layout of the property is extremely ergonomic in desig",https://www.remax.co.za/property/for-sale/botswana/north-west-district/maun/maun-central/2-bedroom-house-for-sale-in-maun-central-4337676,2,2,,New,Remax,BWP 980 000
23,2 Bedroom House,Maun Central,"Mapororo, Maun: An immaculate furnished home set on 1 600m2 with so much to offer and room for expansion! The property is situated behind Boseja and surrounded by only 4 other residents. Enjoy the peace and quiet it has to offer yet just a short drive from all amenities.
The layout of the property is extremely ergonomi",https://www.remax.co.za/property/for-sale/botswana/north-west-district/maun/maun-central/2-bedroom-house-for-sale-in-maun-central-4337648,2,2,,New,Remax,BWP 1 270 000
24,Commercial Property,Machaneng C,"TULI BLOCK, MACHANENG DISTRICT, SHERWOOD - Situated at the Martins Drift Border, experience the safari magic of what this guest lodge has to offer with extensive scenic views of the Limpopo River. This is a fully operational and running lodge! Offering many activities such as boat cruises, quad biking, game drives, fis",https://www.remax.co.za/property/for-sale/botswana/central-district/machaneng/machaneng-central/-commercial-property-for-sale-in-machaneng-central-4335365,,,,New,Remax,BWP 46 000 000
25,Vacant Land / Plot,Gaborone Nor,"GABORONE NORTH: Freehold large plot measuring 1239m2, suitable for building a family home or apartments to rent. Contact me on 75211413.",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone-north/-vacant-land-plot-for-sale-in-gaborone-north-4250362,,,,,Remax,BWP 743 400
26,Vacant Land / Plot,Gaborone Nor,"GABORONE NORTH: This is a great opportunity not to be missed, buy and build apartments for rental. Contact me on 75211413 for more information.",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone-north/-vacant-land-plot-for-sale-in-gaborone-north-4250381,,,,,Remax,BWP 1 255 500
27,3 Bedroom House,Broadhurst,"TAPOLOGO GABORONE: Rare opportunity. An elegant gem property situated on 1378m2, an extraordinary park-like lush garden makes this an amazing home. Featuring an airconditioned 3-bedroom home with large study, 2 bathrooms, guest toilet, lovely patios all around overlooking the garden and pool. The open plan lounge dinin",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/broadhurst/3-bedroom-house-for-sale-in-broadhurst-4335684,3,2,,Reserved,Remax,BWP 3 700 000
28,3 Bedroom House,Gaborone,NOTWANE: Nestled on a riverfront property is this charming and unique home situated on a 4.4ha property.  Featuring a 3 bedroom double storey thatch home with a cosy lounge and large fireplace plus adjacent dining area. The spacious kitchen has a scullery and also has a useful hatchway to the dining area. There a,https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone/3-bedroom-house-for-sale-in-gaborone-4336414,3,2,,New,Remax,BWP 4 500 000
29,3 Bedroom House,Gaborone,"GABORONE - PARTIAL - Low-cost house offers 3 bedrooms, 1 toilet, bathroom, sitting room and a fitted kitchen. There's ample space at the back for an extension and a range of mature fruit trees. Perfectly located in the centre of Gaborone close to hospitals, schools, main mall and CBD. Suited for home or investment. Con",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone/3-bedroom-house-for-sale-in-gaborone-4336188,3,1,,,Remax,BWP 800 000
30,3 Bedroom Apartment / Flat,Block 10,"SETLHOA VILLAGE- A secure gated lifestyle estate offering a community centre, swimming pool, indoor/outdoor gym and yoga studio, children's playground, outdoor exercise space, secure access control to the estate, CCTV security, convenience store and laundry facility. A place for families to enjoy all the amenities in c",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/block-10/3-bedroom-apartment-flat-for-sale-in-block-10-4335666,3,2,,Offer Made,Remax,BWP 1 700 000
31,3 Bedroom Townhouse,Gaborone,BEMCOVILLE - GATED ESTATE - TSHOLOFELO AREA - This secure complex has a communal pool and garden for children to play. This duplex offers an open plan. lounge and dining room leading to the patio. The Kitchen is well fitted with granite countertops. There's a guest toilet. There are three bedrooms upstairs and a shower,https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone/3-bedroom-townhouse-for-sale-in-gaborone-4334881,3,2,,Offer Made,Remax,BWP 2 080 000
32,4 Bedroom House,Gaborone,"EXTENSION 4 - 780m2 sized plot. A centrally located property with potential for further development or re-development. This property has a main house with separate sections featuring their own independent lounge, bedroom, bathroom and kitchenette and there are also external rooms/ storage buildings. A property not to b",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone/4-bedroom-house-for-sale-in-gaborone-4334674,4,3,,New,Remax,BWP 2 150 000
33,3 Bedroom House,Extension 12,"EXTENSION 12: Plot sized 943m2, with 3 Bedroom home in a good and central location of Gaborone, has a lounge, kitchen, 2 bathrooms and an outbuilding. Lots of additional space for development.",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/extension-12/3-bedroom-house-for-sale-in-extension-12-4270150,3,2,,,Remax,BWP 1 650 000
34,3 Bedroom House,Gaborone,"BROADHURST: CHARMING COUNTRY HOME located in a very central and gated area of Gaborone. Set on a 1358m2 plot, this home offers 3 bedrooms, 3 bathrooms (2 are ensuite), cosy lounge with fireplace, good sized kitchen adjacent to the dining area and a lovely courtyard to enjoy the outdoors just off the dining area. Stone",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone/3-bedroom-house-for-sale-in-gaborone-4333907,3,3,,New,Remax,BWP 2 950 000
35,3 Bedroom Apartment / Flat,Gaborone,"EXTENSION 10: Exciting new development: 3-bedroom apartments for sale, centrally located. Featuring a spacious open-plan lounge/dining/kitchen area, a lovely balcony, 3 bedrooms, one has an ensuite bathroom, 2 bathrooms in total. There will be 2 parking per apartment, 24-hour guard. Anticipated completion date is Novem",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone/3-bedroom-apartment-flat-for-sale-in-gaborone-4333881,3,2,,New,Remax,BWP 1 650 000
36,2 Bedroom Apartment / Flat,Gaborone,"EXTENSION 10: Exciting new development:  2-bedroom apartments for sale in the heart of Gaborone. Featuring a spacious open plan lounge/dining/kitchen area, a lovely balcony, 2 bedrooms, one has an ensuite bathroom, 2 bathrooms in total. There will be 1 parking per apartment, 24-hour guard. Anticipated completion date i",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone/2-bedroom-apartment-flat-for-sale-in-gaborone-4333863,2,2,,New,Remax,BWP 1 350 000
37,5 Bedroom House,Mokolodi 2,"MOKOLODI 2 - Nestled amidst the tranquil embrace of nature, this home sure makes a statement in a bush setting offering breathtaking panoramic views!! These views are taken in from each room in the house! What a pleasure to be surrounded by the peaceful wilderness, away from the hustle and bustle only 15 minutes drive",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/mokolodi-2/5-bedroom-house-for-sale-in-mokolodi-2-4332297,5,4,,,Remax,BWP 9 999 999
38,3 Bedroom House,Mogoditshane Central,"MOGODITSHANE- 2166sqm plot offering a 2 bedroom house and a bachelor pad consisting of 1 bedroom and 1 bathroom, a kitchen and living area. Located in a developed area along the tarred road. Water, sewage and electricity are available. The plot is also in close proximity to Trans Africa, SuperSave and the Gaborone-Mole",https://www.remax.co.za/property/for-sale/botswana/kweneng-district/mogoditshane/mogoditshane-central/3-bedroom-house-for-sale-in-mogoditshane-central-4195917,3,2,,,Remax,BWP 1 350 000
39,Commercial Property,Gaborone,"SOLE MANDATE: TLOKWENG: Industrial property available in this accessible location featuring 2 loading roller doors, reception, 5 offices, restrooms, back up water supply and parking available in front. Please call /WhatsApp Thalia on 72575773.",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone/-commercial-property-for-sale-in-gaborone-4330067,,3,,Sole Mandate,Remax,BWP 2 700 000
40,Commercial Property,Maun Centra,"MAUN, MATLAPANA - Don't miss the chance to own this newly built thatched 6 bedroom, 6 bathroom charming Boutique Guest House with easy access and road frontage. Power and water is on pre paid. The property is complete apart from the bar area. Additionally there is outside staff toilets and showers and a parking area wi",https://www.remax.co.za/property/for-sale/botswana/north-west-district/maun/maun-central/6-bedroom-commercial-property-for-sale-in-maun-central-4330272,6,6,,New,Remax,BWP 2 500 000
41,,,,,,,,,Remax,
42,Commercial Property,Gaborone,PARTIAL - This double storey commercial building in a central location and in an ideal business area. Land size 350 m2. All offices are currently occupied.,https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone/-commercial-property-for-sale-in-gaborone-4329359,,,,New,Remax,BWP 4 500 000
43,4 Bedroom House,Phakalane,"PHAKALANE: Gated estate in sought-after location. This home offers 2 lounges, 4 bedrooms, 4 ensuite bathrooms, guest toilet, double garages, fitted kitchen with scullery. Land size 846m2.",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/phakalane/4-bedroom-house-for-sale-in-phakalane-4328445,4,4,,,Remax,BWP 2 800 000
44,Commercial Property,Phakalane,"PHAKALANE: Prime commercial property. This property is located in a strategic location, easy access for business set on a 1924m2 plot featuring offices and combined warehousing. Providing an opportunity to receive rental from two separate clients, Current half is leased out and receiving immediate income. BUA approxima",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/phakalane/-commercial-property-for-sale-in-phakalane-4279534,,,,,Remax,BWP 8 200 000
45,Commercial Property,Gaborone,"PARTIAL: Excellent property available in central Gaborone. A purpose-built nursery school sits on 2257m2 plot, with pool, playing grounds, 7 airconditioned classrooms + offices, a sick bay room, children's ablutions, administration office/ reception and adult ablutions. Lots of shady trees in this property, large secur",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone/-commercial-property-for-sale-in-gaborone-4327629,,,,,Remax,BWP 4 500 000
46,Vacant Land / Plot,Maun Central,"Matlapaneng, Maun: A unique plot for sale, measuring 933m2 perfectly situated with great road access and expansive river frontage. Just 8kms from Maun International airport, water and electricity connection available. With few developed properties neighboring, this property offers a unique opportunity to develop a wond",https://www.remax.co.za/property/for-sale/botswana/north-west-district/maun/maun-central/-vacant-land-plot-for-sale-in-maun-central-4326932,,,,New,Remax,BWP 950 000
47,Commercial Property,Gaborone In,"G.I.C.P: Warehouse with roller shutter door, with kitchenette and male and female toilets. Ground floor office with reception, mezzanine office, access via open tread steel, standalone, 2 parking's.",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone-international-commerce-park/-commercial-property-for-sale-in-gaborone-international-commerce-park-4294026,,2,,Reserved,Remax,BWP 1 600 000
48,3 Bedroom Apartment / Flat,Block 10,"SETLHOA VILLAGE- A secure gated lifestyle estate offering a community centre, swimming pool, indoor/outdoor gym and yoga studio, children's playground, outdoor exercise space, secure access control to the estate, CCTV security, convenience store and laundry facility. A place for families to enjoy all the amenities in c",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/block-10/3-bedroom-apartment-flat-for-sale-in-block-10-4179878,3,2,,,Remax,BWP 1 700 000
49,Farm,Gaborone,"RURETSE – Very large scale poultry farm with a capacity for 30,000 chickens, 3 phase electricity, borehole and 3 water tanks. This farm has a beautiful 5 bedroom home, 3 bathrooms, (2 are ensuite), study, spacious open plan kitchen lounge dining area (with fireplace) flowing onto a large cool veranda. Also featured is",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone/5-bedroom-farm-for-sale-in-gaborone-1679832,5,3,,,Remax,BWP 4 750 000
50,3 Bedroom House,Block 7,"BLOCK 7 - 3 Bedroom housing sitting on a 300m2 plot. The house comprises of en suite, one common bathroom, lounge, fitted kitchen and a staff quarters. It is located in a good neighbourhood.",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/block-7/3-bedroom-house-for-sale-in-block-7-4313391,3,2,,,Remax,BWP 1 100 000
51,2 Bedroom House,Maun Central,"CHANOGA, NEAR MAUN -SOLE MANDATE!!  A beautifully tranquil and peaceful property located on the banks of the Lagoon Boteti River. It features a characterful house built of stone and thatch with a spacious patio to enjoy what the outdoors has to offer. The main house has 2 large bedrooms with 2 bathrooms, of which the m",https://www.remax.co.za/property/for-sale/botswana/north-west-district/maun/maun-central/2-bedroom-house-for-sale-in-maun-central-4322307,2,2,,New,Remax,BWP 2 800 000
52,Farm,Otse Central,"OTSE: Located in the majestic region of the Manyelanong Hill, is this 4.4 ha farm. Situated approximately 10 minutes from main road, the farm has approx. 100 pecan nut trees, approx. 500 prickly pears plants, approx. 1ha of drip irrigation and a very good borehole with a solar pump. This farm is fenced and has 2 basic",https://www.remax.co.za/property/for-sale/botswana/south-east-district/otse/otse-central/-farm-for-sale-in-otse-central-4321722,,,,New,Remax,BWP 850 000
53,Farm,Kasane Central,"Pandamatenga; A developed farm, measuring 12.5HA situated just 6 kilometers off the A33 at the BAMB junction. The farm is fully fenced with veld span fencing, includes 2 boreholes (one equipped), 10 000L Jojo tank set on a 6m steel stand, additional 4X12m poultry sheds, with integrated farming rights, water and soil te",https://www.remax.co.za/property/for-sale/botswana/north-west-district/kasane/kasane-central/-farm-for-sale-in-kasane-central-4321345,,,,New,Remax,BWP 610 000
54,3 Bedroom House,Block 9,"BLOCK 9 - 3 bedroom home. Comprise of One ensuite, 1 shared bathroom, lounge and dining area, plus a servant's quarters. The best thing about this home is the excellent location. It's in proximity to schools, clinic, Game city and transport accessibility. This home is walled and located in a good neighbourhood. It is w",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/block-9/3-bedroom-house-for-sale-in-block-9-4319821,3,2,,New,Remax,BWP 1 100 000
55,3 Bedroom House,Notwane,"NOTWANE: Immerse yourself in this country setting, with the sound of birds and the feel of the bush, find this country home nestled among the shade of beautiful big trees down the long driveway.
Set on 2,4ha and situated on the banks of the Notwane River, truly a rare find, this home portrays country-style elegance and",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/notwane/3-bedroom-house-for-sale-in-notwane-4319595,3,3,,,Remax,BWP 5 800 000
56,3 Bedroom House,Gaborone West Phase 4,"GABORONE WEST PHASE 4 - A well looked after and well established free standing home with garden and swimming pool located in a quiet street close to all amenities and easy access onto the A1. The house offers a well fitted semi open plan kitchen with spacious lounge and dining room, 3 bedrooms all with fitted wardrobes",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone-west-phase-4/3-bedroom-house-for-sale-in-gaborone-west-phase-4-4315194,3,2,,Offer Made,Remax,BWP 1 500 000
57,Commercial Property,Serowe Cent,"SEROWE - Close proximity to the main road by 500 meters and amenities, such as the Sekgoma memorial hospital. This property is zoned for retail space, restaurant, butchery and a hair salon. Consists of main building and two roomed outbuilding, male and female toilets. Sale excludes VAT.",https://www.remax.co.za/property/for-sale/botswana/central-district/serowe/serowe-central/-commercial-property-for-sale-in-serowe-central-4312442,,,,,Remax,BWP 980 000
58,Farm,Gaborone,TLOKWENG - COMMERCIAL/ AGRICULTURAL PLOT measuring 3264m2 in this well located area which is fenced. Expansive property suitable for large scale operations.,https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone/-farm-for-sale-in-gaborone-4313999,,,,,Remax,BWP 1 900 000
59,Vacant Land / Plot,Gaborone Nor,"GABORONE NORTH - 1271m2. Situated within an established residential area, not far from A1 Road. Close to local amenities, the properties is an ideal place to build a family home or investment property. Price P650,000. Contact 75211413.",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone-north/-vacant-land-plot-for-sale-in-gaborone-north-4313414,,,,New,Remax,BWP 650 000
60,4 Bedroom House,Gaborone,CROCODILE POOLS: This beautiful home is set on a 4 hectares plot boasting a 360` panoramic view of the surrounding hills and natural landscape as far at the eye can see. This home is on the highest elevated point and has a welcoming ambiance as you approach. Plenty of bird life with beautiful established trees. On the,https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone/4-bedroom-house-for-sale-in-gaborone-4313408,4,4,,,Remax,BWP 8 000 000
61,Farm,Mochudi Central,"MORWA/ MOCHUDI AREA - Close, approximately to Mochudi town. This is a ploughing filed measuring at 6.8 hectares. Easy access to the main road by 2 Kilometres.",https://www.remax.co.za/property/for-sale/botswana/kgatleng-district/mochudi/mochudi-central/-farm-for-sale-in-mochudi-central-4312364,,,,,Remax,BWP 550 000
62,,,,,,,,,Remax,
63,3 Bedroom House,Block 9,"BLOCK 9 – just what you’ve been waiting for, a move-in ready home that ticks every box.
This property offers a 3-bedroom home, all with ensuite bathrooms, fully air-conditioned and spacious for a family. The kitchen is wonderful and large for the keen cook, granite-topped counters, loads of storage space and a built-in",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/block-9/3-bedroom-house-for-sale-in-block-9-4312042,3,3,,Offer Made,Remax,BWP 1 700 000
64,4 Bedroom House,Gaborone West Phase 2,"GABORONE WEST 2 - Well presented, newly renovated family home. This home offers a large open plan lounge with a fireplace. Separate dining room with sliding doors leading out. Newly modern fitted granite kitchen with fitted stove and oven. Four bedrooms with fitted wardrobes and new floors. Two bathrooms, Main ensuite",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone-west-phase-2/4-bedroom-house-for-sale-in-gaborone-west-phase-2-4311581,4,2,,Offer Made,Remax,BWP 1 400 000
65,5 Bedroom House,Maruapula,"MARUAPULA: Rarely available for sale in this area, a 5-bedroom double-storey home with so much to offer. 3 lounges, one being a private lounge adjoining the master suite with balcony; a dream kitchen with scullery and leading out to a covered patio for extended storage or workspace; large dining room flows to another l",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/maruapula/5-bedroom-house-for-sale-in-maruapula-4302255,5,5,,,Remax,BWP 4 500 000
66,3 Bedroom House,Gaborone,"MOGODITSHANE: Lovely spacious 3-bedroom home set on this wonderful 1704m2 plot with lots of established trees. Featuring a large self-contained cottage plus double staff-quarters with kitchenette, swimming pool and a firepit. The home has a large, fitted kitchen, laundry and a walk-in pantry, 2 lounges and a dining are",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone/3-bedroom-house-for-sale-in-gaborone-4238824,3,2,,Price Reduced,Remax,BWP 1 700 000
67,3 Bedroom House,Block 7,"BLOCK 7: Charming 3-bedroom home with garden cottage. Fresh and bright, this home has a fitted kitchen, lounge/dining space, 1-bathroom, outside lapa for entertaining, covered parking and ample space for parking. The home has an alarm system, electric gate and electric fence on top of the wall. Plot size 540m2.",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/block-7/3-bedroom-house-for-sale-in-block-7-4305526,3,1,,Offer Made,Remax,BWP 1 450 000
